id	from_nodetemplate_id	to_nodetemplate_id	term	label	graphtemplate_id
1	1	2	http://purl.obolibrary.org/obo/SO_transcribed_from	transcribed from	1
2	2	3	http://biohackathon.org/resource/faldo#location	location	1
3	1	4	http://biohackathon.org/resource/faldo#location	location	1
4	1	5	http://purl.obolibrary.org/obo/SO_has_part	has part	1
5	1	6	http://semanticscience.org/resource/SIO_000974	has ordered part	1
6	6	5	http://semanticscience.org/resource/SIO_000628	refers to	1
7	6	7	http://semanticscience.org/resource/SIO_000300	has value	1
8	5	8	http://biohackathon.org/resource/faldo#location	location	1
9	2	9	http://www.w3.org/2004/02/skos/core#altLabel	alt label	1
10	1	10	http://purl.obolibrary.org/obo/SO_translates_to	translates to	1
11	2	11	http://purl.org/dc/elements/1.1/identifier	identifier	1
12	1	12	http://purl.org/dc/elements/1.1/identifier	identifier	1
13	5	13	http://purl.org/dc/elements/1.1/identifier	identifier	1
14	10	14	http://purl.org/dc/elements/1.1/identifier	identifier	1
15	2	15	http://www.w3.org/2000/01/rdf-schema#seeAlso	seeAlso	1
16	17	16	http://id.nlm.nih.gov/mesh/vocab#term	term	2
17	18	17	http://id.nlm.nih.gov/mesh/vocab#preferredConcept	preferredConcept	2
18	18	19	http://id.nlm.nih.gov/mesh/vocab#treeNumber	treeNumber	2
19	17	21	http://www.w3.org/2000/01/rdf-schema#label	label	2
20	16	20	http://www.w3.org/2000/01/rdf-schema#label	label	2
21	18	22	http://www.w3.org/2000/01/rdf-schema#label	label	2
22	19	23	http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber	parentTreeNumber	2
23	24	25	http://semanticscience.org/resource/SIO_000628	refers to	3
24	24	26	http://semanticscience.org/resource/SIO_000628	refers to	3
25	26	27	http://www.w3.org/2004/02/skos/core#exactMatch	exactMatch	3
26	25	28	http://www.w3.org/2004/02/skos/core#exactMatch	exactMatch	3
27	24	33	http://semanticscience.org/resource/SIO_000628	refers to	3
28	26	30	http://semanticscience.org/resource/SIO_000332	is about	3
29	33	32	http://www.w3.org/2004/02/skos/core#exactMatch	exactMatch	3
30	33	34	http://www.w3.org/2000/01/rdf-schema#subClassOf	subClassOf	3
31	24	35	http://semanticscience.org/resource/SIO_000216	has measurement value	3
32	41	37	http://rdf.ebi.ac.uk/terms/expressionatlas/pValue	pValue	4
33	41	36	http://rdf.ebi.ac.uk/terms/expressionatlas/foldChange	foldChange	4
34	38	41	http://rdf.ebi.ac.uk/terms/expressionatlas/hasOutput	hasOutput	4
35	38	39	http://rdf.ebi.ac.uk/terms/expressionatlas/hasFactorValue	hasFactor	4
36	41	40	http://rdf.ebi.ac.uk/terms/expressionatlas/refersTo	refersTo	4
37	39	44	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	a	4
38	41	45	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	a	4
